iter	Passed	Remaining
441	1241	1567
442	1243	1564
443	1246	1560
444	1248	1557
445	1251	1554
446	1253	1550
447	1255	1547
448	1257	1543
449	1260	1540
450	1262	1536
451	1264	1533
452	1266	1529
453	1269	1526
454	1271	1523
455	1273	1519
456	1276	1516
457	1278	1513
458	1280	1509
459	1283	1506
460	1285	1503
461	1287	1499
462	1290	1496
463	1292	1493
464	1294	1489
465	1297	1486
466	1299	1483
467	1301	1479
468	1303	1476
469	1306	1472
470	1308	1469
471	1310	1466
472	1313	1463
473	1315	1459
474	1318	1456
475	1320	1453
476	1322	1450
477	1324	1446
478	1327	1443
479	1329	1440
480	1331	1436
481	1333	1433
482	1336	1430
483	1338	1427
484	1341	1424
485	1343	1420
486	1345	1417
487	1347	1414
488	1350	1410
489	1352	1407
490	1354	1404
491	1356	1400
492	1359	1397
493	1361	1394
494	1364	1391
495	1366	1388
496	1369	1385
497	1371	1382
498	1373	1379
499	1376	1376
500	1378	1373
501	1380	1369
502	1383	1366
503	1385	1363
504	1387	1360
505	1390	1357
506	1392	1353
507	1394	1350
508	1397	1347
509	1399	1344
510	1401	1340
511	1403	1337
512	1405	1334
513	1408	1331
514	1410	1328
515	1412	1325
516	1415	1321
517	1417	1318
518	1419	1315
519	1422	1312
520	1425	1310
521	1428	1307
522	1430	1304
523	1432	1301
524	1435	1298
525	1437	1295
526	1439	1292
527	1442	1289
528	1445	1287
529	1447	1283
530	1449	1280
531	1452	1277
532	1457	1277
533	1460	1274
534	1463	1272
535	1468	1271
536	1472	1269
537	1474	1266
538	1476	1263
539	1479	1260
540	1481	1257
541	1484	1254
542	1486	1251
543	1489	1248
544	1491	1245
545	1494	1242
546	1496	1239
547	1499	1236
548	1501	1233
549	1503	1230
550	1506	1227
551	1508	1224
552	1513	1223
553	1515	1220
554	1518	1217
555	1520	1214
556	1522	1211
557	1525	1208
558	1528	1205
559	1530	1202
560	1533	1200
561	1543	1203
562	1560	1211
563	1567	1212
564	1570	1208
565	1572	1205
566	1575	1203
567	1577	1200
568	1580	1196
569	1582	1193
570	1584	1190
571	1586	1187
572	1588	1184
573	1591	1180
574	1593	1177
575	1595	1174
576	1598	1171
577	1601	1168
578	1603	1165
579	1605	1162
580	1607	1159
581	1609	1156
582	1612	1153
583	1614	1150
584	1617	1147
585	1619	1144
586	1621	1141
587	1623	1137
588	1626	1134
589	1628	1131
590	1630	1128
591	1633	1125
592	1635	1122
593	1638	1119
594	1640	1116
595	1642	1113
596	1644	1110
597	1647	1107
598	1649	1104
599	1651	1101
600	1653	1098
601	1656	1094
